Term,Values
要旨,ようし
覆う,おおう
覇権,はけん
覇者,はしゃ
見方,みかた
規則,きそく
規律,きりつ
規模,きぼ
視覚,しかく
触る,さわる
託す,たくす
記事,きじ
記憶,きおく
記載,きさい
記録,きろく
許す,ゆるす
許可,きょか
訳す,やくす
詐取,さしゅ
詐欺,さぎ
試す,ためす
試合,しあい
試験,しけん
詩歌,しいか
話す,はなす
誇る,ほこる
誓い,ちかい
誘う,さそう
語る,かたる
誠意,せいい
論旨,ろんし
論理,ろんり
諭す,さとす
諮る,はかる
諮問,しもん
謀る,はかる
講師,こうし
譜面,ふめん
豆腐,とうふ
豊か,ゆたか
負担,ふたん
財布,さいふ
貨幣,かへい
貨物,かもつ
貴様,きさま
貴賓,きひん
費用,ひよう
賄賂,わいろ
資本,しほん
資格,しかく
資金,しきん
贈る,おくる
赤い,あかい
赤痢,せきり
走る,はしる
赴任,ふにん
起伏,きふく
趣味,しゅみ
距離,きょり
路地,ろじ
車庫,しゃこ
軌跡,きせき
軽い,かるい
輝度,きど
輸血,ゆけつ
輸送,ゆそう
辛い,からい
辛子,からし
辺り,あたり
迎え,むかえ
近い,ちかい
近く,ちかく
近視,きんし
返す,かえす
返る,かえる
迫る,せまる
迷い,まよい
迷う,まよう
迷路,めいろ
送る,おくる
通う,かよう
通す,とおす
通り,とおり
通る,とおる
通貨,つうか
速い,はやい
造る,つくる
連鎖,れんさ
逮捕,たいほ
進む,すすむ
進化,しんか
逸話,いつわ
遅い,おそい
遅刻,ちこく
遅延,ちえん
遅滞,ちたい
過程,かてい
過酷,かこく
違反,いはん
遠い,とおい
遠く,とおく
遠視,えんし
遣う,つかう
遥か,はるか
遷都,せんと
遺体,いたい
遺失,いしつ
遺憾,いかん
遺産,いさん
遺跡,いせき
避妊,ひにん
避難,ひなん
都会,とかい
酵素,こうそ
酷使,こくし
酸素,さんそ
醸す,かもす
重い,おもい
野暮,やぼ
野菜,やさい
野郎,やろう
量る,はかる
金庫,きんこ
針医,はりい
鋭利,えいり
鎖国,さこく
閉鎖,へいさ
開始,かいし
闘志,とうし
阿呆,あほう
陛下,へいか
陰気,いんき
陶器,とうき
陽気,ようき
隔離,かくり
隙間,すきま
障る,さわる
隠す,かくす
隣家,りんか
雅致,がち
雇う,やとう
雇用,こよう
離す,はなす
離婚,りこん
零下,れいか
雷雨,らいう
露呈,ろてい
露店,ろてん
露顕,ろけん
露骨,ろこつ
青い,あおい
静止,せいし
非難,ひなん
靴屋,くつや
音痴,おんち
預金,よきん
頼み,たのみ
頼む,たのむ
頼る,たよる
顧問,こもん
風邪,かぜ
颯と,さっと
飛躍,ひやく
飢餓,きが
飽和,ほうわ
養子,ようし
餓死,がし
首位,しゅい
香り,かおり
馬鹿,ばか
駄目,だめ
騎兵,きへい
騎手,きしゅ
騎馬,きば
高い,たかい
高さ,たかさ
高値,たかね
高瀬,たかせ
高炉,こうろ
鬱気,うっき
魔法,まほう
麻酔,ますい
黄色,きいろ
黒い,くろい
鼓膜,こまく
鼓舞,こぶ
お盆,おぼん
一万,いちまん
一体,いったい
一例,いちれい
一億,いちおく
一冊,いっさつ
一割,いちわり
一千,いっせん
一回,いっかい
一層,いっそう
一巻,いっかん
一応,いちおう
一打,いちだ
一抹,いちまつ
一括,いっかつ
一斉,いっせい
一斤,いっきん
一日,いちにち
一旦,いったん
一時,いちじ
一歩,いっぽ
一等,いっとう
一緒,いっしょ
一翼,いちよく
一覧,いちらん
一貫,いっかん
一階,いっかい
丁寧,ていねい
丁目,ちょうめ
三世,さんせい
三人,さんにん
三冊,さんさつ
三角,さんかく
上る,のぼる
下品,げひん
下巻,げかん
下町,したまち
下着,したぎ
不便,ふべん
不朽,ふきゅう
不況,ふきょう
不良,ふりょう
不詳,ふしょう
両手,りょうて
並列,へいれつ
並行,へいこう
中々,なかなか
中佐,ちゅうさ
中古,ちゅうこ
中尉,ちゅうい
中止,ちゅうし
中華,ちゅうか
丹念,たんねん
丹誠,たんせい
主催,しゅさい
主因,しゅいん
主宰,しゅさい
主義,しゅぎ
主観,しゅかん
主語,しゅご
九つ,ここのつ
